tmdb_id;tmdb_title;tmdb_original_title;tmdb_year;tmdb_release_date;premiere_date;premiere_country;premiere_note;tmdb_overview;tmdb_popularity;tmdb_vote_average;tmdb_vote_count
1196231;Las ausencias;Las ausencias;2023;3/11/2023;3/11/2023;AR;Festival Internacional de Cine de Mar del Plata;La vida de Juan José Gorasurreta está atravesada por las imágenes. En su nuevo largometraje, el histórico cineclubista se apropia de las películas que lo formaron para encontrar relaciones y patrones ;2407;0;0
1051674;Freno & Reversa;Freno & Reversa;2023;19/7/2023;19/7/2023;US;SWIFF (Student World Impact Film Festival);En un viaje nocturno, la relación entre madre e hija se verá puesta a prueba.;2397;0;0
1066914;Eyestring;Eyestring;2023;10/3/2023;10/3/2023;US;SXSW;;2355;87;3
1196286;Una habitación llena de polvo;Una habitación llena de polvo;2023;5/11/2023;5/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Agustín, un dibujante de historietas, no quiere seguir dibujando. Quizás sea un hombre sin talento, o sencillamente no tiene ganas. Un día sueña que se mete en la casa que compartía con su exnovia. Es;2316;0;0
1196308;Lava 2 (El nuevo show del Narciso);Lava 2 (El nuevo show del Narciso);2023;9/11/2023;9/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Los medios de comunicación masivos fueron invadidos por la Cultura Lacrimal. Internet, la televisión y la radio quedaron interrumpidas por una señal invasora. Una imagen inundaba las pantallas: Nunca ;2309;10;1
1188309;Detrás de escena;Detrás de escena;2023;2/9/2023;7/10/2023;AR;Enerc Se Proyecta;"Una joven estudiante de actuación que se prepara para su debut escénico; encarnará a la intrépida Adela en ""La casa de Bernarda Alba"":  Impulsada por los nervios y la ansiedad, acepta la propuesta de ";2219;0;0
1202685;Tencha Reina;Tencha Reina;2023;26/10/2023;26/10/2023;AR;Festival Asterisco;Una autoficción sobre Tencha de Sagastizabal: psicoanalista, actriz, chamana y gorda. La peli es un retrato onírico sensual, mágico e iridiscente. Un híbrido que muta a fábula. Un cuento de hadas quee;2201;0;0
1190158;El portador;El portador;2023;15/10/2023;15/10/2023;AR;Tandil Cine;Guille es un repartidor nocturno a quien se le encarga una misión peligrosa pero importantísima: debe llevar un cofre misterioso a una dirección al otro lado de la ciudad. El joven vivirá la noche más;2165;0;0
1388193;Intrusión;Intrusión;2023;25/11/2023;25/11/2023;AR;Buenos Aires Rojo Sangre ;;2137;0;0
1209186;Sapos, momentos de infancia en dictadura;Sapos, momentos de infancia en dictadura;2023;21/11/2023;21/11/2023;CL;FICVIÑA;A 40 años del retorno de la democracia en Argentina, Lucas, Sonia, Tália, Iván, Nadia, Damián y Bruno se encuentran a grabar historias sobre sus infancias en dictadura. Textos que dialogan con filmaci;2094;0;0
1162032;Rojas;Rojas;2023;5/8/2023;5/8/2023;CA;Fantasia Film Festival;;2067;0;0
