tmdb_id,tmdb_title,tmdb_original_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,tmdb_overview,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,status,local_id,local_title,local_year,match_reason
1141625,Martín Cirio: el documental,Martín Cirio: el documental,2023,2023-06-16,2023-06-16,AR,,"Después de casi 3 años de no poder hablar, finalmente la justicia lo investigó de pies a cabeza. Es inocente. Y va a contar lo que pasó durante este tiempo mientras tenía que hacer streams sonriendo c",0.2138,9,1,missing,,,,No encontrada en CineNacional
1122638,Territorio Africano 2,Territorio Africano 2,2023,2023-06-16,2023-06-16,AR,Star+,,0.3618,4.2,10,missing,,,,No encontrada en CineNacional
1185828,Santuario,Santuario,2023,2023-06-15,2023-06-15,AR,,,0.1553,0,0,missing,,,,No encontrada en CineNacional
1152578,Sobre nadar,Sobre nadar,2023,2023-06-15,2023-06-15,US,Philadelphia Latino Film Festival,"Dominique es nadadora profesional de aguas abiertas. Está por cumplir su sueño de participar en los juegos olímpicos cuando queda embarazada. Ella deberá elegir entre su deseo, el mandato, y las presi",0.2509,5,1,missing,,,,No encontrada en CineNacional
1141186,"Varsavsky, el científico rebelde","Varsavsky, el científico rebelde",2023,2023-06-15,2023-06-15,AR,,"Una periodista de ciencia lee en un libro afin, que afines de los ´60 los centros de investigación argentinos, debatian los planteos sobre ciencia, tecnologia y sociedad del matemático y pionero de la",0.1324,0,0,exists_by_tmdb,189351,Varsavsky. El científico rebelde,2022,Match por tmdb_id
1067827,La larga vida de los recuerdos,La larga vida de los recuerdos,2023,2023-06-15,2023-06-15,AR,,Tres hombres y tres mujeres se enfrentan a la muerte de distintas maneras. Son diferentes entre sí pero se aferran a lo mismo. Ellos saben que a la muerte le sobreviven los recuerdos.,0.0453,2,1,exists_by_tmdb,189371,La larga vida de los recuerdos,2023,Match por tmdb_id
1220477,La piedra mágica,La piedra mágica,2023,2023-06-14,2023-06-14,BR,Olhar de Cinema,,0,0,0,missing,,,,No encontrada en CineNacional
1306855,Revuelto Gramajo,Revuelto Gramajo,2023,2023-06-13,2023-06-13,AR,,,0.1926,0,0,missing,,,,No encontrada en CineNacional
1230480,Young Bastards 49: Spunk in My Face,Young Bastards 49: Spunk in My Face,2023,2023-06-12,2023-06-12,US,,,0,0,0,missing,,,,No encontrada en CineNacional
1420261,El presi,El presi,2023,2023-06-11,2023-06-11,AR,,"La noche anterior a la asunción, el presidente electo recorre la ciudad en automóvil. Durante esa noche se reunirá con su asesora de imagen, su ex esposa, su amante y recibirá una incómoda llamada de ",1.545,0,0,missing,,,,No encontrada en CineNacional
1156424,Lemon sal,Lemon sal,2023,2023-06-11,2023-06-11,AR,,,0.0639,0,0,missing,,,,No encontrada en CineNacional
1134370,Lxs fantasmas de mi placard,Lxs fantasmas de mi placard,2023,2023-06-11,2023-06-11,AR,,"Es viernes 13 en Ezpeleta, conurbano bonaerense. En medio de las preocupaciones cotidianas y el caos adolescente, Fer, Pepo, Juja y Robi se reúnen para ensayar con su incipiente y disfuncional banda d",0.1261,6,2,missing,,,,No encontrada en CineNacional
1134355,PDV (Punto de vista),PDV (Punto de vista),2023,2023-06-11,2023-06-11,AR,,,0.2979,2,1,missing,,,,No encontrada en CineNacional
984612,El canto del cisne,El canto del cisne,2023,2023-06-10,2023-06-10,BG,In the Palace International Short Film Festival,Lucas y Javier son una pareja que durante el tiempo compartido han vivido una variedad de experiencias pero ninguna los ha marcado tanto como afrontar la pérdida de un familiar muy cercano.,1.126,0,0,missing,,,,No encontrada en CineNacional
1177310,Tous ces gens,Tous ces gens,2023,2023-06-09,2023-06-09,AR,,,0.0071,0,0,missing,,,,No encontrada en CineNacional
1137274,Laberintos personales,Laberintos personales,2023,2023-06-08,2023-06-08,AR,,"En Argentina hay 3 millones de personas que desconocen su identidad de origen; la directora del film es una de ellas y su búsqueda personal cumplió ya dos décadas. Durante la pandemia, un grupo de hij",0.1046,2,1,exists_by_tmdb,189369,Laberintos personales,2023,Match por tmdb_id
1133203,Michelle,Michelle,2023,2023-06-08,2023-06-08,AR,,,0.0071,2,1,missing,,,,No encontrada en CineNacional
1061781,La Bruja De Hitler,La Bruja De Hitler,2023,2023-06-08,2022-12-18,IN,,,0.7341,2,3,exists_by_tmdb,10487,La bruja de Hitler,2022,Match por tmdb_id
1342109,Boxes,Boxes,2023,2023-06-06,2023-06-06,AR,,,0.0143,0,0,missing,,,,No encontrada en CineNacional
1373926,Electrocardiograma,Electrocardiograma,2023,2023-06-03,2023-06-03,AR,,"Un corazón cae del cielo en las manos de Alexis. Este la impulsa a iniciar un recorrido por diferentes estaciones de un viaje surrealista, el cual revelará el estado de enajenación, autodestrucción y ",0.0936,0,0,exists_by_tmdb,196122,Electrocardiograma,2024,Match por tmdb_id
1119805,¿Y usted que opina doc?,¿Y usted que opina doc?,2023,2023-06-03,2023-06-03,AR,,,0.1133,2,1,missing,,,,No encontrada en CineNacional
1103016,Salve,Salve,2023,2023-06-03,2023-06-03,AR,,,0.0855,2,1,missing,,,,No encontrada en CineNacional
1137698,El canto del Auricanturi,El canto del Auricanturi,2023,2023-06-02,2023-07-06,CZ,Karlovy Vary International Film Festival,Rocío vuelve a su pueblo a reencontrarse con su madre Alba a quien creía muerta años atrás durante la guerra. Estas dos mujeres intentan reconstruir su relación en medio de un pueblo que vive en una a,0.5203,3,2,exists_by_tmdb,190821,El canto del Auricanturi,2023,Match por tmdb_id
1135653,Cucaracha,Cucaracha,2023,2023-06-02,2023-06-02,AR,,1 cucaracha emerge de la tostada. 10 cucarachas emergen del lavabo. 100 cucarachas emergen de la cocina. 1000 cucarachas emergen de su cuerpo.,0.0387,6,2,missing,,,,No encontrada en CineNacional
1124424,Trinchera de ideas,Trinchera de ideas,2023,2023-06-02,2023-06-02,AR,,,0.2809,2,1,missing,,,,No encontrada en CineNacional
1121748,El Ingenio de la Escalera,El Ingenio de la Escalera,2023,2023-06-02,2023-06-02,AR,,"Juan, un detective olvidadizo, salva la vida de una periodista llamada Julia. Juntos intentarán buscar a quien intentó asesinarla.",2.4491,2,1,missing,,,,No encontrada en CineNacional
1111059,Nunca hizo tanto frío,Nunca hizo tanto frío,2023,2023-06-02,2023-04-25,AR,BAFICI,,0.1882,0,0,missing,,,,No encontrada en CineNacional
1004666,Camarera de Piso,Camarera de Piso,2023,2023-06-02,2022-08-31,IT,Biennale,Cortometraje de Lucrecia Martel.,0.8048,5,1,exists_by_tmdb,161611,Camarera de piso,2022,Match por tmdb_id
